"Data Source","Health Nutrition and Population Statistics",

"Last Updated Date","2026-02-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bahrain","BHR","Population ages 60-64, male","SP.POP.6064.MA","1430","1494","1559","1625","1702","1780","1854","1935","1996","2024","2034","2055","2103","2152","2204","2264","2344","2445","2560","2686","2815","2958","3114","3261","3395","3524","3654","3786","3917","4049","4165","4021","4094","4159","4181","4189","4203","4245","4348","4520","4720","4902","5143","5332","5535","5835","6306","7004","7842","9079","10365","11031","12151","14191","16606","17476","17703","19096","20269","21377","22401","23048","22613","23839","24913",
"Bahamas, The","BHS","Population ages 60-64, male","SP.POP.6064.MA","863","910","967","1034","1097","1159","1236","1333","1447","1571","1699","1834","1978","2120","2260","2393","2512","2609","2678","2714","2722","2719","2727","2759","2827","2934","3072","3229","3395","3564","3732","3897","4061","4223","4385","4549","4727","4926","5155","5418","5704","5979","6215","6391","6556","6702","6770","6782","6768","6685","6557","6470","6440","6472","6570","6732","6948","7201","7475","7771","8085","8410","8790","9242","9716",
"Bosnia and Herzegovina","BIH","Population ages 60-64, male","SP.POP.6064.MA","33725","36035","38803","41229","43125","44819","46424","47926","49335","50355","50698","50497","49960","49028","47477","45040","41570","37555","34231","32749","33653","36847","41430","46197","50608","54851","59491","65165","71961","79351","86492","92554","94469","93035","92382","93333","95411","97245","98219","98376","97527","95443","92010","87323","82084","77770","75588","76073","79352","84406","89903","95306","100212","104580","108727","112281","114793","116453","117462","118103","118654","118896","118803","118194","116607",
"Belarus","BLR","Population ages 60-64, male","SP.POP.6064.MA","102452","105266","108025","113750","120367","124853","128961","135103","138263","140723","143070","143408","142542","141914","140314","135027","125853","114556","106718","102089","101654","107800","120045","135696","150026","164216","179922","198230","215541","231643","246603","254797","255864","250000","237316","225761","222785","224157","228498","235987","236952","230086","215267","192725","170827","153326","142781","146491","162072","183235","204624","220560","229425","233795","236458","241358","249040","257849","269537","281370","289878","294773","295983","293983","288304",
"Belize","BLZ","Population ages 60-64, male","SP.POP.6064.MA","1015","1043","1074","1105","1132","1159","1184","1206","1229","1257","1287","1320","1348","1359","1357","1355","1350","1343","1350","1369","1389","1416","1448","1477","1510","1554","1610","1675","1736","1785","1814","1827","1807","1756","1714","1703","1749","1841","1960","2089","2198","2271","2316","2348","2381","2438","2529","2666","2841","3046","3242","3418","3595","3769","3937","4105","4292","4487","4683","4893","5117","5352","5625","5906","6152",
"Bermuda","BMU","Population ages 60-64, male","SP.POP.6064.MA","555","584","626","674","723","769","806","830","841","846","852","866","888","914","936","956","963","954","937","922","923","938","964","999","1034","1066","1098","1122","1134","1140","1141","1156","1191","1227","1257","1281","1295","1284","1253","1230","1224","1238","1285","1355","1420","1485","1566","1638","1689","1727","1769","1818","1866","1916","1979","2036","2075","2123","2178","2244","2331","2394","2446","2520","2576",
"Bolivia","BOL","Population ages 60-64, male","SP.POP.6064.MA","36946","37114","37500","38054","38694","39406","40202","41078","42037","43086","44184","45352","46620","47883","48976","49870","50588","51105","51559","52243","53302","54665","56292","58204","60381","62748","65354","68257","71259","74012","76387","78430","80130","82157","84701","87289","89886","92454","95048","97800","100735","103810","106608","109254","112267","115602","119117","122412","124641","125407","125720","126274","127135","129048","132368","136279","140315","144709","149440","154431","157601","158540","161436","166878","172587",
"Brazil","BRA","Population ages 60-64, male","SP.POP.6064.MA","629551","656298","681568","706146","731192","756404","781631","807878","835898","865745","897030","928724","959727","989552","1017998","1044529","1069177","1093302","1118492","1145992","1177337","1214434","1258480","1308916","1363492","1419053","1473632","1526978","1578197","1625955","1670483","1712725","1752226","1788535","1823032","1858614","1900663","1951469","2010521","2078679","2152585","2226970","2300158","2372322","2444422","2518691","2593086","2676228","2780728","2911450","3059947","3218852","3383111","3541552","3688338","3831121","3977660","4125420","4275722","4427613","4574051","4704622","4832047","4964556","5084846",
"Barbados","BRB","Population ages 60-64, male","SP.POP.6064.MA","2734","2845","2891","2908","2937","2985","3049","3124","3203","3278","3348","3412","3477","3541","3614","3692","3784","3894","3987","4011","4012","3992","3910","3825","3792","3803","3823","3845","3856","3840","3811","3827","3879","3915","3916","3903","3921","3980","4022","4061","4076","4048","4034","4129","4324","4561","4901","5294","5639","5938","6199","6379","6541","6739","6988","7291","7612","7896","8095","8239","8383","8515","8589","8661","8714",
"Brunei Darussalam","BRN","Population ages 60-64, male","SP.POP.6064.MA","937","955","972","991","1015","1040","1069","1100","1136","1176","1252","1357","1413","1420","1415","1406","1405","1419","1459","1531","1624","1723","1791","1814","1812","1791","1766","1767","1797","1839","1892","1957","2024","2072","2101","2121","2148","2204","2294","2412","2553","2710","2868","3021","3162","3313","3525","3756","3960","4133","4233","4377","4732","5204","5667","6109","6507","6867","7229","7600","7941","8312","8699","9024","9342",
"Bhutan","BTN","Population ages 60-64, male","SP.POP.6064.MA","1893","1941","1996","2058","2124","2195","2272","2355","2442","2534","2631","2735","2844","2959","3082","3215","3357","3508","3668","3839","4016","4202","4397","4603","4821","5051","5292","5546","5810","6083","6352","6574","6441","6292","6389","6410","6518","6737","6970","7213","7429","7598","7715","7778","7784","7802","7907","8064","8235","8422","8636","8894","9199","9529","9870","10222","10561","10891","11209","11475","11691","11889","12108","12384","12741",
"Botswana","BWA","Population ages 60-64, male","SP.POP.6064.MA","3839","3967","4203","4475","4688","4785","4766","4649","4473","4299","4155","4060","4095","4298","4577","4911","5333","5827","6533","7320","7718","8092","8730","9332","9835","10214","10447","10511","10416","10352","10479","10765","11194","11697","12188","12610","12970","13274","13517","13705","13855","13938","13954","13955","13977","14040","14158","14329","14568","15131","16039","16897","17917","19166","20128","20778","21279","21839","22487","22984","23325","23272","23465","24368","25435",
"Central African Republic","CAF","Population ages 60-64, male","SP.POP.6064.MA","21058","21290","21410","21475","21576","21747","21978","22265","22588","22916","23219","23504","23776","24041","24297","24548","24522","24190","23820","23455","23116","22809","22538","22301","22074","21837","21590","21342","21232","21515","22054","22585","23115","23640","24162","24652","25151","25695","26266","26857","27458","28031","28677","29422","30243","31215","32210","33168","34071","32855","32186","34031","35740","37341","37946","38041","38503","38619","38615","37852","36869","35986","33252","31317","31389",
"Canada","CAN","Population ages 60-64, male","SP.POP.6064.MA","286561","293019","299213","305867","313503","321755","330910","340786","350951","360824","370852","387235","398379","410676","423471","434170","439964","441947","441586","442820","451521","466540","484954","503350","518887","528651","535475","544156","552567","562547","571234","579326","586332","590779","592655","592135","590726","590048","592568","599768","611188","628665","653545","683563","716361","749854","789851","837887","885664","929336","970975","1001793","1020687","1039711","1067943","1099137","1134403","1169221","1203785","1233910","1258723","1276980","1303800","1341164","1379898",
