"Data Source","Health Nutrition and Population Statistics",

"Last Updated Date","2026-02-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bahrain","BHR","Population ages 60-64, female","SP.POP.6064.FE","1326","1371","1415","1460","1510","1567","1626","1686","1682","1606","1511","1457","1471","1503","1534","1570","1619","1682","1761","1850","1941","2031","2118","2200","2291","2402","2538","2679","2820","2989","3179","3178","3285","3319","3336","3393","3486","3609","3771","3947","4100","4179","4258","4304","4402","4590","4894","5313","5749","6372","6977","7197","7734","8898","10392","11188","11860","13163","14239","15368","16352","17650","18190","19089","19780",
"Bahamas, The","BHS","Population ages 60-64, female","SP.POP.6064.FE","1220","1285","1349","1402","1440","1470","1503","1551","1622","1714","1811","1912","2019","2122","2217","2306","2389","2470","2548","2622","2693","2760","2826","2894","2967","3048","3142","3249","3373","3517","3675","3837","4004","4174","4339","4502","4672","4855","5057","5287","5538","5803","6068","6317","6629","6984","7276","7508","7691","7742","7677","7614","7579","7589","7663","7813","8036","8318","8643","9009","9415","9853","10336","10871","11415",
"Bosnia and Herzegovina","BIH","Population ages 60-64, female","SP.POP.6064.FE","41837","45298","48854","51390","52642","53297","53851","54584","55898","57680","59557","61486","63446","65024","65473","64201","61020","56653","52964","51785","53963","59371","66743","74162","80539","85763","90190","94562","99161","103615","107585","110989","112299","112350","113615","116188","119409","122111","123694","124027","122973","120425","116246","110525","104108","98622","95471","95425","98653","104019","110017","115946","121248","125814","129998","133453","135684","136849","137282","137302","137350","137454","137465","137080","135715",
"Belarus","BLR","Population ages 60-64, female","SP.POP.6064.FE","181213","194117","203226","212769","219322","219040","218170","224068","228046","233805","242289","248592","254406","260076","262403","254757","237613","216282","200432","190903","187246","195593","217480","246717","272721","296750","321519","339356","345371","349492","353275","350327","345942","339254","324538","310524","306898","309040","315683","328786","331226","322036","302281","271058","239491","214221","197786","199994","219529","247601","277195","301047","315044","322678","326852","332658","341590","351096","363815","376637","385442","390642","391173","386057","377247",
"Belize","BLZ","Population ages 60-64, female","SP.POP.6064.FE","1039","1068","1099","1122","1140","1159","1178","1199","1228","1267","1313","1359","1393","1413","1418","1417","1407","1392","1384","1385","1391","1400","1412","1426","1446","1472","1507","1542","1579","1615","1644","1673","1689","1674","1653","1661","1703","1767","1847","1928","1986","2017","2040","2063","2086","2124","2199","2326","2497","2702","2917","3123","3320","3513","3706","3903","4120","4365","4632","4924","5223","5507","5801","6099","6369",
"Bermuda","BMU","Population ages 60-64, female","SP.POP.6064.FE","665","689","712","736","761","790","822","853","878","894","905","922","950","983","1012","1033","1039","1029","1011","992","991","1017","1056","1102","1157","1208","1245","1256","1245","1236","1230","1245","1280","1314","1338","1346","1347","1343","1340","1333","1331","1356","1408","1473","1542","1619","1699","1759","1804","1842","1879","1932","1989","2024","2063","2144","2245","2344","2440","2527","2593","2638","2666","2674","2667",
"Bolivia","BOL","Population ages 60-64, female","SP.POP.6064.FE","45229","45672","46348","47220","48197","49239","50354","51531","52771","54080","55412","56800","58267","59673","60825","61700","62277","62548","62724","63117","63893","65018","66432","68124","70107","72293","74731","77496","80392","83063","85377","87370","89033","90815","92854","94850","96750","98510","100212","102022","103995","106128","108244","110502","113266","116504","120079","123579","126094","127347","128366","129580","130977","133390","137055","141104","145286","149933","155016","160427","165406","169351","173894","179586","185297",
"Brazil","BRA","Population ages 60-64, female","SP.POP.6064.FE","631117","659520","686448","712595","738911","765080","791303","819212","849978","883972","921147","960232","999346","1037468","1074097","1108253","1139761","1170243","1201679","1235756","1274734","1321315","1377165","1441924","1513362","1588306","1664433","1740390","1814485","1884912","1950410","2010854","2065695","2112847","2151990","2185336","2216909","2249444","2286195","2330593","2381109","2435965","2495414","2558957","2628063","2706235","2799956","2915625","3054907","3222790","3410553","3599824","3784271","3961647","4124778","4280664","4439857","4600733","4764097","4929096","5089684","5236762","5379166","5523358","5654490",
"Barbados","BRB","Population ages 60-64, female","SP.POP.6064.FE","3593","3819","4106","4384","4569","4653","4633","4499","4329","4219","4174","4190","4285","4407","4477","4493","4476","4423","4348","4282","4302","4390","4465","4540","4624","4714","4801","4884","4955","4996","4987","4970","4967","4949","4924","4924","4995","5091","5136","5143","5082","4988","4930","4999","5226","5488","5780","6130","6462","6755","7060","7349","7612","7883","8160","8501","8919","9289","9545","9770","9986","10149","10263","10373","10458",
"Brunei Darussalam","BRN","Population ages 60-64, female","SP.POP.6064.FE","1143","1115","1079","1060","1061","1061","1068","1084","1109","1139","1127","1090","1076","1062","1036","1016","1006","1008","1022","1056","1112","1172","1222","1257","1282","1301","1317","1347","1395","1458","1545","1663","1806","1952","2082","2176","2232","2279","2329","2393","2490","2605","2716","2811","2875","2932","3043","3210","3421","3692","3985","4302","4690","5127","5576","6029","6476","6901","7308","7722","8133","8531","8867","9117","9332",
"Bhutan","BTN","Population ages 60-64, female","SP.POP.6064.FE","1884","1932","1983","2038","2097","2161","2229","2299","2372","2449","2529","2613","2701","2794","2893","2998","3108","3225","3347","3475","3611","3754","3903","4059","4225","4397","4576","4764","4960","5163","5367","5531","5398","5255","5321","5327","5409","5587","5778","5994","6211","6401","6564","6693","6784","6866","6976","7110","7252","7399","7569","7787","8063","8392","8778","9223","9691","10125","10474","10726","10903","11053","11216","11422","11681",
"Botswana","BWA","Population ages 60-64, female","SP.POP.6064.FE","5808","5916","6151","6444","6657","6753","6749","6625","6422","6218","6049","5893","5810","5870","6022","6267","6625","7085","7748","8470","8867","9260","9900","10532","11076","11507","11782","11871","11778","11723","11901","12290","12886","13575","14235","14807","15283","15669","15971","16203","16389","16496","16518","16525","16575","16699","16907","17196","17585","18390","19652","20841","21913","22921","23494","23628","23581","23709","24095","24426","24622","24380","24603","25787","27110",
"Central African Republic","CAF","Population ages 60-64, female","SP.POP.6064.FE","23340","23619","23775","23871","24008","24229","24516","24868","25262","25662","26036","26393","26745","27083","27394","27683","27517","26827","26040","25256","24524","23858","23276","22739","22156","21475","20684","19792","19044","18883","19148","19457","19806","20182","20574","20960","21362","21793","22251","22734","23242","23783","24442","25202","26040","27005","27984","28926","29804","29854","30727","33152","35563","38051","39899","41195","42640","43960","45286","46186","47015","47826","47163","47082","48425",
"Canada","CAN","Population ages 60-64, female","SP.POP.6064.FE","285132","291824","298525","305692","313990","323521","334506","346183","358178","370264","382413","400719","414075","429530","446470","461833","472170","479248","484226","490003","502752","522067","545358","568392","587022","597265","601708","605647","607675","610685","611822","612927","615014","616175","615737","614319","613363","613890","617820","626413","638936","657146","682354","712286","744795","778078","818407","866821","914429","957138","996750","1025703","1045468","1068404","1101512","1137122","1175834","1211738","1245299","1274174","1298328","1316005","1343946","1382346","1420058",
"Central Europe and the Baltics","CEB","Population ages 60-64, female","SP.POP.6064.FE","2105554","2182497","2247647","2312417","2373460","2413046","2451535","2510483","2564895","2622646","2679610","2719096","2753592","2773757","2770938","2711007","2553295","2309717","2052548","1912736","1949563","2133073","2417727","2740676","2965328","3082154","3157300","3180510","3184358","3185649","3184513","3175328","3171848","3168574","3144945","3108342","3072414","3045439","3022447","3013266","2990401","2943559","2887206","2842182","2802860","2764394","2784106","2885618","3028580","3221017","3411099","3552513","3650656","3718672","3766569","3800795","3824253","3823889","3794858","3730641","3616128","3475808","3358897","3260825","3183041",
"Switzerland","CHE","Population ages 60-64, female","SP.POP.6064.FE","144415","148343","152172","155010","157098","159339","161144","162413","164847","167580","169197","169872","170193","169710","168416","165667","161011","155780","150775","147020","147826","153522","160023","166143","171495","174206","174410","174259","174327","174615","175218","175347","175538","176435","177159","177517","177995","178253","178474","179449","180973","183660","188731","195814","203354","210657","217528","223277","227597","230562","232168","232273","231890","232301","233529","235844","239591","244508","249592","255631","262747","270299","279994","293654","307653",
"Channel Islands","CHI","Population ages 60-64, female","SP.POP.6064.FE","3331","3417","3458","3489","3539","3590","3631","3690","3770","3830","3859","3876","3891","3909","3925","3919","3834","3659","3463","3339","3367","3482","3578","3654","3685","3644","3600","3574","3556","3530","3508","3505","3497","3470","3453","3437","3449","3511","3572","3632","3682","3672","3620","3619","3668","3738","3959","4310","4571","4735","4860","4864","4815","4802","4775","4761","4800","4884","5045","5260","5458","5639","5812","5980","6161",
"Chile","CHL","Population ages 60-64, female","SP.POP.6064.FE","90807","92977","95090","97336","99947","102986","106405","110166","114112","118024","121762","125452","129232","133000","136537","139854","142921","145689","148507","151972","156501","161900","167905","174764","182898","191985","202173","213737","225352","234794","241357","245175","246204","245477","244766","244989","245930","247614","250087","253178","256782","261108","266408","272888","280648","289873","300910","314078","329470","346325","364003","381540","397647","412205","425794","438881","452412","466885","481513","495832","509078","520887","531979","542995","553821",
"China","CHN","Population ages 60-64, female","SP.POP.6064.FE","8685206","8661101","8846123","9144942","9466826","9779520","10048865","10222359","10350032","10514279","10665706","10752908","10855529","11056928","11330700","11635687","11986270","12340104","12577423","12717408","12918094","13172209","13424988","13749328","14174983","14571452","14837052","15105954","15480723","15784982","16051536","16431344","16877691","17386095","17960671","18515612","19040107","19455280","19626102","19603418","19583131","19715410","19940140","20177256","20566906","21120030","21817927","22787261","24139009","25807916","27921532","30244209","32854073","35445933","37619994","39403725","40520017","41235373","41389486","40213974","37969600","35660756","35002089","37771419","42498544",
"Cote d'Ivoire","CIV","Population ages 60-64, female","SP.POP.6064.FE","31838","32852","33922","35045","36210","37418","38667","39955","41290","42695","44193","45798","47512","49327","51238","53248","55218","57138","59130","61422","64012","66659","69360","72119","74739","77215","79746","82326","84917","87696","90679","93662","96629","99538","102317","104876","107201","109285","110951","111748","111719","111271","110492","109524","108676","108131","107703","107201","109095","114995","123507","133738","145191","157221","166233","172741","180256","188481","197463","207415","217638","227557","237693","248200","258550",
"Cameroon","CMR","Population ages 60-64, female","SP.POP.6064.FE","64939","66294","67692","69144","70625","72139","73687","75267","76885","78550","80272","82045","83862","85720","87601","89485","91328","93128","94981","96971","99247","101651","103607","105445","107540","109649","111762","113895","116040","118190","120399","122648","124925","127267","129637","131967","134354","136883","139399","141629","143532","145213","146763","148348","150215","152411","154691","156690","157873","158553","160021","162599","166264","171509","178201","185139","191833","198576","205490","212702","219889","226912","234258","242313","250799",
"Congo, Dem. Rep.","COD","Population ages 60-64, female","SP.POP.6064.FE","163236","166837","170819","175105","179395","183687","188099","192544","197051","201796","206864","212168","217743","223622","229616","235639","241658","247686","254464","261918","269148","276283","283717","291641","300192","309096","318181","327822","338073","348688","359972","371724","384045","397281","413443","429235","440905","452517","467341","483965","500224","516473","532710","549042","566187","584371","602741","620302","634919","646290","655446","664208","674976","690019","709648","732695","759196","787302","815288","843390","872372","901628","931582","963296","996246",
"Congo, Rep.","COG","Population ages 60-64, female","SP.POP.6064.FE","12086","12364","12634","12899","13173","13460","13758","14061","14372","14693","15020","15354","15699","16052","16412","16735","17028","17422","18054","18950","20034","21194","22205","22760","22689","22404","22383","22733","23474","24428","25323","25979","26278","26237","26079","26002","26115","26377","26780","27221","27670","27920","27744","27544","27618","28044","28833","29918","31137","32571","34119","35587","37029","38541","40376","42495","44786","47270","49881","52446","54966","57537","60256","63273","66618",
"Colombia","COL","Population ages 60-64, female","SP.POP.6064.FE","143859","147480","150858","154150","157703","161756","166149","170740","175770","181601","188156","195552","204085","213036","221009","227637","232900","236601","239568","243280","248428","254826","262486","271357","280917","290318","299964","310240","320549","330589","340276","349820","359614","369649","379589","389572","399617","409632","420233","432598","447379","464767","485061","508177","533647","560952","589727","619238","648431","680336","716017","753157","792673","835697","879087","921949","967096","1014722","1064158","1114151","1162490","1206894","1250927","1296066","1338723",
"Comoros","COM","Population ages 60-64, female","SP.POP.6064.FE","2201","2260","2320","2381","2448","2518","2592","2671","2756","2843","2930","3013","3094","3175","3249","3314","3366","3401","3416","3412","3384","3360","3354","3346","3340","3338","3348","3368","3401","3450","3520","3631","3750","3860","3989","4133","4288","4445","4596","4701","4843","5152","5570","5829","5790","5563","5271","5054","5028","5262","5739","6341","6932","7341","7527","7643","7827","8069","8299","8519","8727","8934","9183","9487","9795",
"Cabo Verde","CPV","Population ages 60-64, female","SP.POP.6064.FE","3388","3458","3521","3604","3687","3768","3850","3929","4005","4076","4111","4111","4110","4114","4126","4119","4082","4026","3953","3868","3833","3862","3901","3957","4033","4124","4231","4349","4474","4601","4763","4942","5092","5208","5286","5316","5299","5253","5184","5104","5056","5040","5002","4919","4801","4663","4523","4385","4265","4206","4328","4719","5274","5850","6377","6832","7239","7627","8020","8415","8764","9096","9459","9817","10153",
"Costa Rica","CRI","Population ages 60-64, female","SP.POP.6064.FE","12150","12638","13084","13496","13898","14330","14838","15442","16130","16887","17691","18507","19311","20074","20757","21331","21809","22231","22680","23240","23959","24852","25897","27080","28370","29712","31118","32617","34159","35664","37135","38570","39941","41248","42574","43970","45449","47056","48765","50480","52198","53966","55797","57759","59983","62551","65477","68697","72205","75971","79783","83596","87522","91540","95630","99917","104414","109150","114218","119506","124827","129940","134715","139022","142644",
"Caribbean small states","CSS","Population ages 60-64, female","SP.POP.6064.FE","29752","30938","32024","32868","33604","34291","34844","35245","35586","35954","36344","36787","37302","37814","38244","38587","38855","39099","39384","39742","40255","40870","41496","42150","42831","43499","44109","44566","44892","45060","45031","45063","45337","45738","46232","46881","47663","48423","49188","50068","51027","52136","53498","55205","57246","58622","61066","63890","66971","69987","73113","76322","79577","83093","87016","91068","94941","98564","101577","104699","108232","111528","114730","117954","120541",
"Cuba","CUB","Population ages 60-64, female","SP.POP.6064.FE","80907","86677","93251","100123","106499","112098","116882","120742","124004","127264","130682","134399","138453","142282","145347","147459","148610","148968","149183","149853","150968","152543","154339","155836","157270","159194","161792","164951","168430","171747","174674","177489","180329","183133","186373","190187","194693","200437","207356","215384","224118","232282","239703","247150","254099","260021","266256","272775","278401","282487","285450","287862","290798","295679","301359","305568","308730","310042","309222","311686","321540","337293","361550","393962","427167",
"Curacao","CUW","Population ages 60-64, female","SP.POP.6064.FE","1662","1665","1684","1706","1732","1767","1800","1843","1910","1983","2053","2128","2142","2097","2062","2014","1966","1941","1937","1968","2026","2091","2166","2225","2267","2305","2333","2352","2367","2393","2440","2504","2582","2683","2791","2899","3009","3091","3090","3020","2942","2886","2979","3190","3432","3718","3992","4224","4413","4579","4796","5039","5203","5338","5493","5659","5833","5988","5723","5593","5799","5872","5967","6116","6235",
"Cayman Islands","CYM","Population ages 60-64, female","SP.POP.6064.FE","162","167","169","168","164","158","156","161","168","178","192","201","207","216","228","236","239","238","237","235","238","243","252","267","282","297","316","329","334","345","364","383","405","426","439","451","466","477","487","497","502","507","517","531","554","587","626","670","708","747","799","863","941","1038","1138","1218","1296","1379","1453","1518","1592","1688","1795","1908","2033",
"Cyprus","CYP","Population ages 60-64, female","SP.POP.6064.FE","11496","11690","11215","10568","10086","10015","10455","11264","12191","13042","13698","14127","14373","14392","14129","13687","13221","12858","12666","12632","12701","12824","12952","13082","13266","13533","13871","14253","14648","15026","15368","15662","15921","16182","16459","16747","17033","17305","17570","17865","18235","18760","19497","20400","21354","22290","23177","24014","24823","25616","26384","27049","27590","28066","28534","29067","29744","30603","31613","32715","33808","34799","35673","36454","37173",
"Czechia","CZE","Population ages 60-64, female","SP.POP.6064.FE","278893","284986","292590","299446","304781","307454","310181","313688","317043","321480","324709","325864","326282","325944","322606","309705","283665","250073","215668","192284","193405","216917","251149","286955","312494","321087","319498","314164","307321","301001","296041","292090","288261","283003","276142","267359","257627","249723","245080","244727","249070","257031","267477","282095","298699","311554","327425","350097","368141","377778","386455","390702","387236","382762","380291","377994","373339","366756","357916","345308","330707","311739","303119","303694","314434",
"Germany","DEU","Population ages 60-64, female","SP.POP.6064.FE","2412398","2463786","2522103","2564636","2596977","2631583","2664874","2695830","2734187","2776958","2798695","2793863","2784664","2773539","2742294","2646750","2452720","2191463","1916900","1734905","1759916","1957502","2197583","2413088","2537163","2531454","2462083","2397232","2362040","2345621","2326757","2297546","2259209","2213225","2206674","2260691","2347011","2462005","2616029","2765582","2865959","2930113","2912283","2825854","2708074","2502509","2284894","2191941","2175592","2184285","2287123","2393034","2505337","2584838","2629342","2654914","2682219","2718612","2764038","2826150","2904290","2995486","3091215","3195962","3295315",
